Name,Type,Category,Element,Perks 0
Accrued Redemption,Combat Bow,KineticSlot,Kinetic,Precision
Biting Winds,Combat Bow,KineticSlot,Kinetic,Precision
Point of the Stag,Combat Bow,Energy,Arc,Precision
Wolftone Draw,Combat Bow,Energy,Arc,Precision
Biting Winds,Combat Bow,Energy,Arc,Precision
Under Your Skin,Combat Bow,Energy,Void,Precision
Whispering Slab,Combat Bow,KineticSlot,Kinetic,Lightweight
Fel Taradiddle,Combat Bow,KineticSlot,Kinetic,Lightweight
Arsenic Bite,Combat Bow,Energy,Arc,Lightweight
Tyranny of Heaven,Combat Bow,Energy,Solar,Lightweight
Imperial Needle,Combat Bow,Energy,Void,Lightweight
