Name,Type,Category,Element,Perks 0
Exile's Curse,Fusion Rifle,Energy,Arc,High-Impact
Exile's Curse (Adept),Fusion Rifle,Energy,Arc,High-Impact
Iota Draconis,Fusion Rifle,Energy,Solar,High-Impact
Glacioclasm,Fusion Rifle,Energy,Void,High-Impact
Coriolis Force,Fusion Rifle,Energy,Void,Aggressive
Deliverance,Fusion Rifle,KineticSlot,Kinetic,Precision
Main Ingredient,Fusion Rifle,Energy,Arc,Precision
Hollow Words,Fusion Rifle,Energy,Arc,Precision
Plug One.1,Fusion Rifle,Energy,Arc,Precision
Plug One.1 (Adept),Fusion Rifle,Energy,Arc,Precision
Snorri FR5,Fusion Rifle,Energy,Void,Precision
Techeun Force,Fusion Rifle,Energy,Arc,Adaptive
Timelines' Vertex,Fusion Rifle,Energy,Solar,Adaptive
Dream Breaker,Fusion Rifle,Energy,Solar,Adaptive
Trinary System,Fusion Rifle,Energy,Solar,Adaptive
Cartesian Coordinate,Fusion Rifle,Energy,Solar,Rapid-Fire
Zealot's Reward,Fusion Rifle,Energy,Void,Rapid-Fire
Null Composure,Fusion Rifle,Energy,Void,Rapid-Fire
Likely Suspect,Fusion Rifle,Energy,Void,Rapid-Fire
